栏目,分类ID,文章标题,字数,来源URL,本地文件
校园生活,,新生入学需要带哪些证件档案,119,https://freshman.ysu.edu.cn/info/5210/2393.htm,001_新生入学需要带哪些证件档案.md
校园生活,,开学要带哪些生活用品,178,https://freshman.ysu.edu.cn/info/5210/2393.htm,002_开学要带哪些生活用品.md
校园生活,,开学要带哪些学习用品,67,https://freshman.ysu.edu.cn/info/5210/2393.htm,003_开学要带哪些学习用品.md
校园生活,,新生重要校规提醒,212,https://freshman.ysu.edu.cn/info/5210/2393.htm,004_新生重要校规提醒.md
校园生活,,燕山大学快递地址,47,https://freshman.ysu.edu.cn/info/5210/2393.htm,005_燕山大学快递地址.md
校园生活,,燕山大学有哪些食堂,116,https://freshman.ysu.edu.cn/info/5210/2394.htm,006_燕山大学有哪些食堂.md
